,Run,Burden,aod,SW_F,F,aod_per_burden,SW_F_per_aod,F_per_SW_F,burden_rel,aod_per_burden_rel,SW_F_per_aod_rel,F_per_SW_F_rel
16,u-dd989,1.9995773072878364e-06,0.04358339239138164,-1.0867247016189872,-0.7741457298271257,21796.302764856227,-24.934376192200233,0.712366000951128,0.2531177206126748,1.0165789867322907,1.1497849992276774,1.1151705760038375
17,u-de506,3.187450829500449e-06,0.07543749043323396,-1.678099154569213,-1.1473096402028267,23667.028753838644,-22.244896336449802,0.6836959765332544,0.40348541943719674,1.1038295975744115,1.0257665128604838,1.0702891981707625
18,u-de012,3.610076191762346e-06,0.08483463331041534,-1.8358471467801312,-1.2415723931952383,23499.402451392933,-21.64030272946014,0.6762939906913362,0.4569837102904438,1.0960115112444353,0.9978872246606402,1.0587017883226184
19,u-de013,5.196921847527847e-06,0.11510169559695123,-2.3131769883881055,-1.5182230116724453,22148.052053487125,-20.096810706317484,0.6563367261968099,0.657855541495753,1.0329845642872493,0.9267130368262502,1.0274597665078398
20,u-de399,6.780885541957105e-06,0.14394426151094633,-2.85933298490528,-1.8456920936783883,21227.94443591228,-19.864167941754598,0.6454974301426211,0.8583625578566122,0.9900707692436672,0.9159853106216164,1.0104914328028525
21,u-de018,1.0885927395065664e-06,0.020068746596354225,-0.5781186332946895,-0.43269461143736027,18435.495542116987,-28.80691280439572,0.7484529757697657,0.1378001800156184,0.8598310264037375,1.3283571227627013,1.171662789895299
22,u-de567,1.4259438785302336e-06,0.031221448669610397,-0.7638422081267713,-0.5950534329105481,21895.28573999094,-24.465303202610908,0.7790266452672774,0.18050398098622447,1.021195550084881,1.1281548977639242,1.219524221488846
23,u-de026,2.0965446765330853e-06,0.04728297073620358,-1.0092205829732164,-0.7378595309826134,22552.80856422876,-21.344271886040303,0.7311181950023659,0.26539239455886793,1.0518623972849843,0.9842365192870959,1.1445261249962568
24,u-de633,2.787040102703031e-06,0.06337773108460305,-1.2981258916585854,-0.8956390513471951,22740.157568287483,-20.48236611572154,0.6899477601535686,0.3527991818476653,1.0606003498985994,0.9444919386398251,1.0800760284400464
25,u-de050,3.388231561984867e-06,0.07427215133088627,-1.5346074210604075,-1.042904238617824,21920.6243646986,-20.66194924425512,0.6795902484931171,0.42890137168078935,1.0223773428737037,0.9527729554060226,1.0638619022339522
26,u-de052,4.426797659107251e-06,0.09552182186621228,-1.8655634112366413,-1.2106456065216724,21578.086287656548,-19.530232723675923,0.6489436913426394,0.5603688984681288,1.006401375984581,0.900586741934713,1.0158863689485318
27,u-de457,5.505424724105978e-06,0.11722481056032379,-2.217359039903519,-1.4352915368640486,21292.60074105542,-18.915441443707582,0.6472977587456927,0.6969075674600932,0.9930863376121818,0.8722372141215928,1.013309750188302
28,u-dg027,1.1814128129117307e-06,0.025363026102163372,-0.6801998907307001,-0.5233868084747036,21468.38583852262,-26.818562106541442,0.7694602948442978,0.1495498659726387,1.0012849499270178,1.2366694146775128,1.204548615554249
29,u-df710,1.496727236371953e-06,0.033491361180720707,-0.8540226523474731,-0.6208286281263768,22376.39589021131,-25.499789266226987,0.7269463244562541,0.1894641357793936,1.0436345148163781,1.1758575773371924,1.137995286531606
30,u-dg309,2.096810703733354e-06,0.0476089187361578,-1.035607884816002,-0.7399288227706633,22705.3966537802,-21.75239245728728,0.714487436431722,0.26542606977527866,1.0589791017617514,1.0030559558384218,1.1184915688975048
31,u-dg028,2.7917003535549156e-06,0.06379224041082261,-1.2889226848590751,-0.8911592949106775,22850.676051099246,-20.205007326257885,0.6913985651576244,0.35338910256181477,1.0657549290253459,0.9317022472887732,1.082347185471519
32,u-dg549,3.1341267003881512e-06,0.07064512798168061,-1.3300044098579267,-0.9048588053558748,22540.610107731587,-18.82655531748513,0.6803427106324658,0.3967353518277238,1.0512934615953229,0.8681384576986428,1.0650398411533253
33,u-dg552,3.924247721442953e-06,0.0848847670254886,-1.5331473245720113,-1.010829263043642,21630.8380741765,-18.061513016954486,0.6593164576182018,0.4967533061866956,1.008861717918133,0.8328604882742492,1.0321243754323162
34,u-dg655,5.096057520859176e-06,0.10830568203307984,-2.0423397510540195,-1.3227685100737858,21252.83743163478,-18.857180091716952,0.647673096207977,0.6450875688024966,0.9912317779083621,0.8695506408527374,1.0138973207537871
35,u-df848,1.8364829657002701e-06,0.042935790409423885,-1.1517115138284906,-0.931187854730783,23379.356744020777,-26.824043597336544,0.8085252630976586,0.2324723232894458,1.0904125826151858,1.2369221796089886,1.2657027176457396
36,u-df859,1.6133197959788959e-06,0.03906715031939544,-0.9148894903063819,-0.6824509035798516,24215.379007167707,-23.41838303604581,0.7459380731888282,0.20422307649178617,1.1294046389434669,1.0798788513279989,1.1677258454650017
37,u-df931,7.907506187621038e-07,0.012976857438462953,-0.21007658441494884,-0.12947110980112106,16410.809085142206,-16.188556082329235,0.6163043356863909,0.10009765237114394,0.7653997033905204,0.7464938685107595,0.964791217019643
38,u-df932,1.0697381185309496e-06,0.0213089603084107,-0.4257251454434506,-0.32115785504665456,19919.79152586792,-19.978691558940856,0.754378402319001,0.1354134562480651,0.9290585519823071,0.921266274383575,1.1809387257613517
39,u-dg051,1.6082109368653619e-06,0.03611067363597748,-0.9348373114255613,-0.7350051983960699,22453.94108957029,-25.88811609690305,0.7862386207876519,0.20357636842551843,1.0472512208715634,1.1937642761560157,1.230814180420692
