,Run_ID,Injection_latitude,Injection_altitude,Seasonal,Seasonality,aerDirectForcing_SW,aerDirectForcing_LW,aerDirectForcing,Delta_aerDirectForcing_SW,Delta_aerDirectForcing_LW,Delta_aerDirectForcing,Delta_rsdscs,Cooling
28,u-dg027,70.625,12.3,No,,-3.145026445388794,0.6227851510047913,-2.5222411155700684,-0.6802010796674467,0.15681325984768618,-0.5233876430820157,-1.3520073310208147,0.42785042120911854
29,u-df710,70.625,12.9,No,,-3.318849563598633,0.6991661190986633,-2.619683027267456,-0.8540241978772856,0.23319422794155825,-0.6208295547794034,-1.5559105292630022,0.4923767497667728
30,u-dg309,70.625,14.1,No,,-3.5004348754882812,0.7616512179374695,-2.738783121109009,-1.035609509766934,0.2956793267803644,-0.7399296486209561,-1.8331779853176897,0.5801196156068638
31,u-dg028,70.625,15.4,No,,-3.753749370574951,0.863735556602478,-2.8900136947631836,-1.288924004853604,0.39776366544537295,-0.8911602222751309,-2.095827521450502,0.6632365574210449
32,u-dg549,70.625,16.0,No,,-3.794830799102783,0.8911178112030029,-2.9037134647369385,-1.330005433381436,0.42514592004589785,-0.9048599922488858,-2.2761101142239397,0.7202880108303606
33,u-dg552,70.625,18.0,No,,-3.997974157333374,0.9882902503013611,-3.009683847427368,-1.5331487916120268,0.522318359144256,-1.0108303749393155,-2.3764519110989397,0.7520417440186518
34,u-dg655,70.625,20.2,No,,-4.507166862487793,1.1855435371398926,-3.3216230869293213,-2.0423414967664457,0.7195716459827874,-1.3227696144412686,-3.255495490200502,1.030220091835602
35,u-df848,60.625,12.9,Yes,Spring,-3.6165382862091064,0.6864957809448242,-2.930042266845703,-1.1517129204877592,0.22052388978771914,-0.9311887943576505,-1.9505333319973772,0.6172573835434738
36,u-df859,60.625,12.9,Yes,Summer,-3.379715919494629,0.6984108090400696,-2.681305170059204,-0.9148905537732817,0.2324389178829645,-0.6824516975711514,-1.5755333319973772,0.4985864974675244
37,u-df931,60.625,12.9,Yes,Autumn,-2.67490291595459,0.5465775728225708,-2.1283252239227295,-0.2100775502332426,0.08060568166546572,-0.12947175143467682,-0.4176048652005022,0.13215343835458931
38,u-df932,60.625,12.9,Yes,Winter,-2.8905513286590576,0.5705393552780151,-2.320012331008911,-0.42572596293771037,0.10456746412091006,-0.32115885852085846,-0.7667869941067522,0.2426541120590988
39,u-dg051,60.625,12.9,Yes,Jan-Jun/Jul-Dec,-3.3996639251708984,0.6658041477203369,-2.7338593006134033,-0.9348385594495512,0.19983225656323184,-0.7350058281253506,-1.6387047187161272,0.5185774426316858
40,u-dg331,60.625,12.9,Yes,Mar-Aug/Sep-Feb,-3.5296051502227783,0.7033736705780029,-2.8262317180633545,-1.064779784501431,0.23740177942089785,-0.8273782455753018,-1.8031639472317522,0.5706215022885291
41,u-dg381,30.625,15.4,Yes,Mar-Aug/Sep-Feb,-5.300230503082275,1.2802878618240356,-4.0199432373046875,-2.835405137360928,0.8143159706669305,-2.021089764816635,-3.4661125556301897,1.0968710619082878
